Menu Item Name,Family Group,Major Group,Qty Sold
Y WRP R.P.HUMUS,GRAB N GO,FOOD,672
CHEF SPECIAL TP,DESSERTS,FOOD,671
CHEF SPL DESSERT,DESSERTS,FOOD,664
MOCHA FLAV,BEVERAGES,BEVERAGES,650
MUSHRM/ONION,PIZZA,FOOD,644
CHAI LATTE M,BEVERAGES,BEVERAGES,638
ICED MOCHA M,BEVERAGES,BEVERAGES,633
ESP WH MOCHA M,BEVERAGES,BEVERAGES,631
COCOA M,BEVERAGES,BEVERAGES,630
ESP LATTE L,BEVERAGES,BEVERAGES,630
BACON/SAUSAGE,TOPPINGS,FOOD,628
HOLIDAY MEAL,SPECIAL EVENTS,FOOD,620
CRACKR CHP CHEDR,FOOD,FOOD,617
CHIX THAI PNUT SC,ENTREES,FOOD,615
HAZELNUT FLAV,BEVERAGES,BEVERAGES,608
YTG SLD GARDEN,GRAB N GO,FOOD,604
EGGS STEAMED,BREAKFAST,FOOD,601
3 T STEAK,FOOD,FOOD,588
GR CHIX PSTA SLD,SALAD,FOOD,586
FRIED CATFISH,ENTREES,FOOD,585
BEEF N BLUE SLD,SALAD,FOOD,584
B VEGETABLE,FOOD,FOOD,580
EMPL LUNCH,EMPLOYEE MEALS,EMPL MEALS,574
COFFEE/HERE,RETAIL,RETAIL,567
TATOR TOTS,SIDES,FOOD,567
ICD MACCHIATO L,BEVERAGES,BEVERAGES,560
EMPL SMTHE M,EMPLOYEE MEALS,EMPL MEALS,557
WHEY BST,BEVERAGES,BEVERAGES,557
JERK PORK LOIN,ENTREES,FOOD,555
CARIBBEAN M,BEVERAGES,BEVERAGES,551
SAHALE SNACK MIX,PREPACKAGED,RETAIL,551
Y SAN. HUMS&VG,GRAB N GO,FOOD,548
X SLD DRESSG,SALAD,FOOD,547
GRN BNS/OR BUTTR,SIDES,FOOD,546
SCONE,DESSERTS,FOOD,534
SEASONAL 1  M,BEVERAGES,BEVERAGES,524
PEPPRMNT FLAV,BEVERAGES,BEVERAGES,519
PLAIN CROISSNT,DESSERTS,FOOD,518
FOCACCIA,BREADS,FOOD,512
X CARAMEL,TOPPINGS,FOOD,510
NUTELLA PACK,PREPACKAGED,FOOD,504
MANGO GO GO M,BEVERAGES,BEVERAGES,503
ESP CAPPCINO M,BEVERAGES,BEVERAGES,500
3 EGGS STEAMED,BREAKFAST,FOOD,497
STRW SURFRDR M,BEVERAGES,BEVERAGES,496
STUDNT ORIENTATN,SUMMER,BOARD OPS,496
3 T GRND SIRLN,FOOD,FOOD,495
BAK PECAN PIE,FOOD,FOOD,492
BRKFST B BACON,FOOD,FOOD,486
SEASONAL FLAV,BEVERAGES,BEVERAGES,482
SIDE SALSA,FOOD,FOOD,482
O BRIAN POTATO,BREAKFAST,FOOD,479
ICED WHT MOCHA M,BEVERAGES,BEVERAGES,478
CHEESE GRITS,SIDES,FOOD,474
STRWBS WILD M,BEVERAGES,BEVERAGES,466
ESP MOCHA L,BEVERAGES,BEVERAGES,441
CUP SOUP,SOUPS/ STEWS,FOOD,435
PEANUT BTR PIE,DESSERTS,FOOD,434
SPECIAL CAKE TP,DESSERTS,FOOD,431
DLMNCO STK 10 OZ,ENTREES,FOOD,428
ICED MOCHA L,BEVERAGES,BEVERAGES,427
12 OZ FLAT IRON,ENTREES,FOOD,426
SIDE QUESO,FOOD,FOOD,426
ORANGE JCE S,BEVERAGES,BEVERAGES,424
EXTR VEGGIES,TOPPINGS,FOOD,419
SEASONAL 1 S,BEVERAGES,BEVERAGES,419
STRWBS WILD S,BEVERAGES,BEVERAGES,415
CARIBBEAN S,BEVERAGES,BEVERAGES,410
TURNER MAKI,ENTREES,FOOD,409
ESP LAT MACTO M,BEVERAGES,BEVERAGES,407
BRUEGR BROWNIE,DESSERTS,FOOD,404
ICED CHAI LATT M,BEVERAGES,BEVERAGES,404
RAZZMATAZZ M,BEVERAGES,BEVERAGES,403
X RASPBERRIES,TOPPINGS,FOOD,401
EMP BRKFST SAND,EMPLOYEE MEALS,EMPL MEALS,398
X APPLE FILLING,TOPPINGS,FOOD,398
ICED TEA M,BEVERAGES,BEVERAGES,390
ICED WHT MOCHA L,BEVERAGES,BEVERAGES,387
PEACH COBBLR,DESSERTS,FOOD,379
COFFEE JAVIVA M,BEVERAGES,BEVERAGES,376
BANANA FOSTR,DESSERTS,FOOD,367
MARSHMLW CHEW,DESSERTS,FOOD,366
ALOHA PNPL M,BEVERAGES,BEVERAGES,362
EMPL BOWL SM,EMPLOYEE MEALS,EMPL MEALS,361
HAMACHI MAKI,ENTREES,FOOD,361
ICD BLK TIE M,BEVERAGES,BEVERAGES,355
MANGO GO GO S,BEVERAGES,BEVERAGES,354
SPECIAL CUPCAKE,DESSERTS,FOOD,353
ICED CHAI LATTE L,BEVERAGES,BEVERAGES,351
SF VANLLA FLAV,BEVERAGES,BEVERAGES,351
STRW SURFRDR S,BEVERAGES,BEVERAGES,343
3G ENERGY BST,BEVERAGES,BEVERAGES,342
EMP BAGEL,EMPLOYEE MEALS,EMPL MEALS,342
PASTRMI EVERYTHG,SANDWICHES,FOOD,342
QUESAD STEAK,FOOD,FOOD,341
PANCAKE TP,BREAKFAST,FOOD,340
MULTIGRAIN,BREADS,FOOD,339
MEGA MANGO M,BEVERAGES,BEVERAGES,336
X GRND SIRLION,FOOD,FOOD,335
ENTREE SALADS,SALAD,FOOD,332
GINGR SWT POTAO,SIDES,FOOD,330
ESP WH MOCHA L,BEVERAGES,BEVERAGES,328
SHRMP/WH CHD,PIZZA,FOOD,321
X BRISKET,FOOD,FOOD,320
BGL TUN SLD/ BLT,SANDWICHES,FOOD,317
CHILI LIM SALMN,ENTREES,FOOD,314
X BLUEBERRYS,TOPPINGS,FOOD,311
ORANGE JCE M,BEVERAGES,BEVERAGES,310
